spread_mean,spread_min,vol_early,vol_bar1,oi_bar4,rvol_4bar,price_mid_bar4,imbalance_bar4,range_early,price_level_abs50,vol_total,rvol_full,n_bars,market,pnl,won
0.015000000000000006,,26152,4787,16081,0.40367427419823576,0.2,-30.000000000000018,0.48999999999999994,0.3,126814,0.43581627480333035,15,KXBTC15M-26MAR040545-45,-144.3,0
0.017500000000000016,,18832,6935,11396,0.09123938867001286,0.425,-4.999999999999998,0.54,0.07500000000000001,119580,0.14933499458896735,15,KXBTC15M-26MAR040700-00,204.97000000000003,1
0.014999999999999986,,51499,10139,25226,0.052474011622597086,0.9,39.999999999999964,0.49,0.4,229212,0.7734332117258007,15,KXBTC15M-26MAR040945-45,804.5700000000002,1
0.017500000000000016,,41572,10829,23952,0.06158522155949554,0.775,18.333333333333318,0.75,0.275,171853,0.11174017196535402,15,KXBTC15M-26MAR041245-45,320.04,1
0.014999999999999986,,51133,10094,24693,0.09329869582689007,0.66,15.99999999999999,0.52,0.16000000000000003,188044,0.12173345564626212,15,KXBTC15M-26MAR041415-15,298.45000000000005,1
0.012500000000000011,,45527,4810,19827,0.24411612125924836,0.67,16.99999999999999,0.54,0.17000000000000004,224952,1.0291106407533972,15,KXBTC15M-26MAR041715-15,290.77000000000004,1
0.015000000000000013,,38367,6740,21574,0.047819825190231154,0.865,72.99999999999993,0.4,0.365,125026,0.055631125713781544,15,KXBTC15M-26MAR042115-15,-131.5,0
0.012500000000000004,,40225,10269,17702,0.16177115416275292,0.095,-80.99999999999993,0.61,0.405,120660,0.4291928162093931,15,KXBTC15M-26MAR042145-45,-62.900000000000006,0
0.017499999999999998,,34053,5014,17232,0.6564676359902989,0.10500000000000001,-79.00000000000004,0.4,0.395,228073,0.5675765779793038,15,KXBTC15M-26MAR042345-45,368.56000000000006,1
0.01999999999999999,,15223,1031,7288,0.4821570194036617,0.15000000000000002,-35.000000000000014,0.41000000000000003,0.35,89321,0.4537305271646373,15,KXBTC15M-26MAR050715-15,300.23,1
0.015000000000000006,,12545,2914,9372,0.17499555193570202,0.115,-25.666666666666668,0.4,0.385,62375,0.653294081894963,15,KXBTC15M-26MAR050730-30,34.31,1
0.015000000000000001,,84396,14657,72943,0.14389805620326865,0.05,-45.0,0.5,0.45,193973,0.3408815755596891,15,KXBTC15M-26MAR051845-45,-316.1,0
0.014999999999999986,,57565,10721,41815,0.06955539109383717,0.9299999999999999,43.0000000000002,0.41999999999999993,0.42999999999999994,148216,0.040696507679936496,15,KXBTC15M-26MAR052045-45,-309.7,0
0.012500000000000011,,42499,8319,20221,0.055044469065716126,0.905,80.99999999999993,0.48000000000000004,0.405,199803,1.0719879567844914,15,KXBTC15M-26MAR060200-00,480.37000000000006,1
0.015000000000000013,,50434,7060,31460,0.03172295321972664,0.885,76.99999999999993,0.43000000000000005,0.385,227452,0.6312925540936161,15,KXBTC15M-26MAR060215-15,354.66,1
0.012500000000000011,,29280,4609,16312,0.14201083190606334,0.905,80.99999999999993,0.38,0.405,87027,0.0858206330522763,15,KXBTC15M-26MAR060730-30,-56.5,0
0.012500000000000011,,45591,11864,24537,0.16998877413761806,0.395,-20.99999999999998,0.44,0.10499999999999998,102787,0.5680657636589422,15,KXBTC15M-26MAR060915-15,42.77999999999997,1
0.012500000000000011,,45016,3403,30165,0.12979350158774317,0.915,82.99999999999993,0.51,0.41500000000000004,175930,0.12775676002356054,15,KXBTC15M-26MAR061945-45,-148.3,0
0.009999999999999998,,44127,8049,31879,0.3988702339769733,0.095,-80.99999999999993,0.45,0.405,149632,0.6531033127589587,15,KXBTC15M-26MAR062230-30,-259.1,0
0.012500000000000006,,52634,9287,33242,0.3353553290845504,0.045,-90.99999999999997,0.5399999999999999,0.455,193572,0.471903195356413,15,KXBTC15M-26MAR062315-15,-227.6,0
0.015000000000000013,,31086,8405,19868,0.13889640478945856,0.895,78.99999999999993,0.3400000000000001,0.395,136428,0.0776516258761177,15,KXBTC15M-26MAR070330-30,-80.9,0
0.01249999999999999,,27630,5071,20737,0.2478257032355598,0.175,-65.00000000000013,0.39,0.325,84667,0.3200845474359571,15,KXBTC15M-26MAR070530-30,-80.30000000000001,0
0.015000000000000003,,35110,3040,20226,0.7132302386582012,0.215,-56.99999999999996,0.46,0.28500000000000003,91335,0.4948495228215813,15,KXBTC15M-26MAR070915-15,-303.5,0
0.022499999999999996,,45448,7652,28674,0.2372512058917996,0.1,-39.99999999999999,0.47000000000000003,0.4,110507,0.38704473841817505,15,KXBTC15M-26MAR071315-15,-278.8,0
0.010000000000000009,,41300,13620,24919,0.04679012355816854,0.925,84.99999999999993,0.5999999999999999,0.42500000000000004,99300,0.042382004468140694,15,KXBTC15M-26MAR071915-15,-170.4,0
0.015000000000000013,,40047,9620,20160,0.22213199974186298,0.425,-14.999999999999995,0.64,0.07500000000000001,233651,0.30212138142813727,15,KXBTC15M-26MAR072015-15,284.55,1
0.012500000000000008,,45325,11488,30034,0.3336496100771621,0.09,-40.99999999999999,0.42,0.41000000000000003,215052,0.8233175202571331,15,KXBTC15M-26MAR072045-45,869.0600000000001,1
0.012500000000000008,,39585,7144,27995,0.6801429738739758,0.1,-39.99999999999999,0.45,0.4,157147,0.5411689200240959,15,KXBTC15M-26MAR072200-00,-213.8,0
