market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN081645-45,yes,buy_fill,1,0.1,,-0.11,1391.1700000000071,1767907860.0,
KXBTC15M-26JAN081645-45,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1391.5600000000072,1767907920.0,
KXBTC15M-26JAN081730-30,yes,buy_fill,41,0.1,,-4.170000000000001,1387.3900000000071,1767910560.0,
KXBTC15M-26JAN081730-30,yes,settlement,41,0.10000000000000002,0.0,-4.1000000000000005,1387.3900000000071,,False
KXBTC15M-26JAN081745-45,yes,buy_fill,55,0.1,,-5.59,1381.8000000000072,1767911580.0,
KXBTC15M-26JAN081745-45,yes,buy_fill,83,0.1,,-8.440000000000001,1373.3600000000072,1767911640.0,
KXBTC15M-26JAN081745-45,yes,settlement,138,0.1,0.0,-13.8,1373.3600000000072,,False
KXBTC15M-26JAN082345-45,yes,buy_fill,137,0.1,,-13.920000000000002,1359.440000000007,1767933240.0,
KXBTC15M-26JAN082345-45,yes,settlement,137,0.1,0.0,-13.700000000000001,1359.440000000007,,False
KXBTC15M-26JAN090245-45,yes,buy_fill,17,0.1,,-1.7300000000000002,1357.710000000007,1767943860.0,
KXBTC15M-26JAN090245-45,yes,sell_fill,17,0.1,0.4,5.0200000000000005,1364.430000000007,1767943920.0,
KXBTC15M-26JAN090345-45,yes,buy_fill,136,0.1,,-13.820000000000002,1350.6100000000072,1767947580.0,
KXBTC15M-26JAN090345-45,yes,sell_fill,29,0.1,0.4,8.57,1362.0800000000072,1767947760.0,
KXBTC15M-26JAN090345-45,yes,settlement,107,0.1,0.0,-10.700000000000001,1362.0800000000072,,False
KXBTC15M-26JAN090400-00,yes,buy_fill,77,0.1,,-7.83,1354.2500000000073,1767948480.0,
KXBTC15M-26JAN090400-00,yes,buy_fill,26,0.1,,-2.65,1351.6000000000072,1767948540.0,
KXBTC15M-26JAN090400-00,yes,settlement,103,0.1,0.0,-10.3,1351.6000000000072,,False
KXBTC15M-26JAN090700-00,yes,buy_fill,12,0.1,,-1.2200000000000002,1350.3800000000072,1767959160.0,
KXBTC15M-26JAN090700-00,yes,sell_fill,12,0.10000000000000002,0.4,3.5399999999999996,1355.1200000000072,1767959220.0,
KXBTC15M-26JAN090715-15,yes,buy_fill,13,0.1,,-1.33,1353.7900000000072,1767960060.0,
KXBTC15M-26JAN090715-15,yes,sell_fill,9,0.1,0.4,2.66,1357.3500000000072,1767960120.0,
KXBTC15M-26JAN090715-15,yes,sell_fill,4,0.1,0.4,1.1800000000000002,1358.930000000007,1767960180.0,
KXBTC15M-26JAN090800-00,yes,buy_fill,11,0.1,,-1.12,1357.8100000000072,1767962760.0,
KXBTC15M-26JAN090800-00,yes,sell_fill,11,0.1,0.4,3.250000000000001,1362.1600000000071,1767962820.0,
KXBTC15M-26JAN090815-15,yes,buy_fill,12,0.1,,-1.2200000000000002,1360.940000000007,1767963660.0,
KXBTC15M-26JAN090815-15,yes,sell_fill,4,0.10000000000000002,0.4,1.18,1362.520000000007,1767963720.0,
KXBTC15M-26JAN090815-15,yes,sell_fill,1,0.10000000000000002,0.4,0.29,1362.9100000000071,1767963780.0,
KXBTC15M-26JAN090815-15,yes,sell_fill,7,0.10000000000000002,0.4,2.0700000000000003,1365.680000000007,1767963840.0,
KXBTC15M-26JAN090830-30,no,buy_fill,10,0.1,,-1.02,1364.6600000000071,1767964560.0,
KXBTC15M-26JAN090830-30,no,sell_fill,10,0.1,0.4,2.9500000000000006,1368.6100000000072,1767964620.0,
KXBTC15M-26JAN090845-45,yes,buy_fill,57,0.1,,-5.79,1362.8200000000072,1767965640.0,
KXBTC15M-26JAN090845-45,yes,sell_fill,57,0.1,0.4,16.860000000000003,1385.3800000000072,1767965700.0,
KXBTC15M-26JAN090945-45,yes,buy_fill,106,0.1,,-10.770000000000001,1374.6100000000072,1767969240.0,
KXBTC15M-26JAN090945-45,yes,sell_fill,69,0.10000000000000002,0.4,20.41,1401.9200000000071,1767969480.0,
KXBTC15M-26JAN090945-45,yes,sell_fill,37,0.10000000000000002,0.4,10.94,1416.5600000000072,1767969540.0,
KXBTC15M-26JAN091000-00,no,buy_fill,9,0.1,,-0.92,1415.6400000000071,1767969960.0,
KXBTC15M-26JAN091000-00,no,sell_fill,9,0.1,0.4,2.66,1419.200000000007,1767970020.0,
