market,first_plot_ts,last_plot_ts,open_ts,open_day,hour_utc,start_br,end_br,contrib,pnl_exit,first_buy_ts,first_second_fill,fill_first_minute,has_open_ts
KXBTC15M-26JAN131400-00,1768330140.0,1768330260.0,1768329900,2026-01-13,18,1784.350000000008,1810.520000000008,26.169999999999845,26.320000000000004,1768330140.0,False,False,True
KXBTC15M-26JAN131800-00,1768344540.0,1768344900.0,1768344300,2026-01-13,22,1810.520000000008,1843.750000000008,33.23000000000002,33.410000000000004,1768344540.0,False,False,True
KXBTC15M-26JAN140115-15,1768370640.0,1768370700.0,1768370400,2026-01-14,6,1843.750000000008,1816.4200000000085,-27.329999999999472,-26.9,1768370640.0,False,False,True
KXBTC15M-26JAN140300-00,1768376940.0,1768377000.0,1768376700,2026-01-14,7,1816.4200000000085,1813.770000000008,-2.6500000000005457,-2.6,1768376940.0,False,False,True
KXBTC15M-26JAN140900-00,1768398540.0,1768398600.0,1768398300,2026-01-14,13,1813.770000000008,1805.330000000008,-8.439999999999827,-8.3,1768398540.0,False,False,True
KXBTC15M-26JAN140915-15,1768399440.0,1768399500.0,1768399200,2026-01-14,14,1805.330000000008,1803.090000000008,-2.240000000000009,-2.2,1768399440.0,False,False,True
KXBTC15M-26JAN140945-45,1768401060.0,1768401120.0,1768401000,2026-01-14,14,1803.090000000008,1807.490000000008,4.399999999999864,4.430000000000001,1768401060.0,False,True,True
KXBTC15M-26JAN141000-00,1768402080.0,1768402200.0,1768401900,2026-01-14,14,1807.490000000008,1794.2800000000082,-13.209999999999809,-13.0,1768402080.0,False,False,True
KXBTC15M-26JAN141015-15,1768402980.0,1768403280.0,1768402800,2026-01-14,15,1794.2800000000082,1849.280000000008,54.99999999999977,55.300000000000004,1768402980.0,False,False,True
KXBTC15M-26JAN141245-45,1768412040.0,1768412100.0,1768411800,2026-01-14,17,1849.280000000008,1813.620000000008,-35.659999999999854,-35.1,1768412040.0,False,False,True
KXBTC15M-26JAN141300-00,1768412940.0,1768413180.0,1768412700,2026-01-14,17,1813.620000000008,1862.730000000008,49.1099999999999,49.38,1768412940.0,False,False,True
KXBTC15M-26JAN141345-45,1768415640.0,1768415700.0,1768415400,2026-01-14,18,1862.730000000008,1848.300000000008,-14.430000000000064,-14.2,1768415640.0,False,False,True
KXBTC15M-26JAN141400-00,1768416360.0,1768416420.0,1768416300,2026-01-14,18,1848.300000000008,1854.760000000008,6.460000000000036,6.500000000000002,1768416360.0,False,True,True
KXBTC15M-26JAN141430-30,1768418340.0,1768418400.0,1768418100,2026-01-14,19,1854.760000000008,1844.9000000000085,-9.859999999999445,-9.7,1768418340.0,False,False,True
KXBTC15M-26JAN141645-45,1768426260.0,1768426320.0,1768426200,2026-01-14,21,1844.9000000000085,1853.4200000000085,8.519999999999982,8.57,1768426260.0,False,True,True
KXBTC15M-26JAN141800-00,1768430760.0,1768430820.0,1768430700,2026-01-14,22,1853.4200000000085,1865.470000000008,12.0499999999995,12.12,1768430760.0,False,True,True
KXBTC15M-26JAN142015-15,1768438980.0,1768439100.0,1768438800,2026-01-15,1,1865.470000000008,1840.980000000008,-24.49000000000001,-24.1,1768438980.0,False,False,True
KXBTC15M-26JAN142130-30,1768443540.0,1768443600.0,1768443300,2026-01-15,2,1840.980000000008,1834.8800000000083,-6.099999999999682,-6.0,1768443540.0,False,False,True
KXBTC15M-26JAN150015-15,1768453320.0,1768453500.0,1768453200,2026-01-15,5,1834.8800000000083,1801.2400000000082,-33.6400000000001,-33.1,1768453320.0,False,False,True
KXBTC15M-26JAN150745-45,1768480260.0,1768480320.0,1768480200,2026-01-15,12,1801.2400000000082,1806.530000000008,5.289999999999736,5.32,1768480260.0,False,True,True
KXBTC15M-26JAN150815-15,1768482240.0,1768482300.0,1768482000,2026-01-15,13,1806.530000000008,1779.100000000008,-27.429999999999836,-27.0,1768482240.0,False,False,True
KXBTC15M-26JAN150845-45,1768483920.0,1768484100.0,1768483800,2026-01-15,13,1779.100000000008,1751.360000000008,-27.74000000000001,-27.3,1768483920.0,False,False,True
KXBTC15M-26JAN150900-00,1768484940.0,1768485000.0,1768484700,2026-01-15,13,1751.360000000008,1744.960000000008,-6.400000000000091,-6.300000000000001,1768484940.0,False,False,True
KXBTC15M-26JAN150915-15,1768485840.0,1768485900.0,1768485600,2026-01-15,14,1744.960000000008,1734.190000000008,-10.769999999999982,-10.6,1768485840.0,False,False,True
KXBTC15M-26JAN151415-15,1768503780.0,1768504020.0,1768503600,2026-01-15,19,1734.190000000008,1791.550000000008,57.3599999999999,57.67000000000001,1768503780.0,False,False,True
KXBTC15M-26JAN151615-15,1768510980.0,1768511100.0,1768510800,2026-01-15,21,1791.550000000008,1778.240000000008,-13.309999999999945,-13.1,1768510980.0,False,False,True
KXBTC15M-26JAN151830-30,1768519140.0,1768519200.0,1768518900,2026-01-15,23,1778.240000000008,1774.980000000008,-3.259999999999991,-3.2,1768519140.0,False,False,True
KXBTC15M-26JAN151845-45,1768520040.0,1768520100.0,1768519800,2026-01-15,23,1774.980000000008,1771.620000000008,-3.3599999999999,-3.3000000000000003,1768520040.0,False,False,True
KXBTC15M-26JAN152045-45,1768527120.0,1768527300.0,1768527000,2026-01-16,1,1771.620000000008,1760.640000000008,-10.980000000000018,-10.8,1768527120.0,False,False,True
KXBTC15M-26JAN152115-15,1768529040.0,1768529100.0,1768528800,2026-01-16,2,1760.640000000008,1759.210000000008,-1.4300000000000637,-1.4,1768529040.0,False,False,True
KXBTC15M-26JAN152200-00,1768531560.0,1768531620.0,1768531500,2026-01-16,2,1759.210000000008,1764.800000000008,5.589999999999918,5.620000000000001,1768531560.0,False,True,True
KXBTC15M-26JAN152330-30,1768537080.0,1768537200.0,1768536900,2026-01-16,4,1764.800000000008,1749.4500000000078,-15.350000000000136,-15.1,1768537080.0,False,False,True
KXBTC15M-26JAN152345-45,1768538040.0,1768538100.0,1768537800,2026-01-16,4,1749.4500000000078,1741.7300000000075,-7.720000000000255,-7.6,1768538040.0,False,False,True
KXBTC15M-26JAN160015-15,1768539780.0,1768539900.0,1768539600,2026-01-16,5,1741.7300000000075,1731.8700000000076,-9.8599999999999,-9.7,1768539780.0,False,False,True
KXBTC15M-26JAN160530-30,1768558680.0,1768558800.0,1768558500,2026-01-16,10,1731.8700000000076,1721.7000000000075,-10.170000000000073,-10.0,1768558680.0,False,False,True
KXBTC15M-26JAN160945-45,1768573860.0,1768573920.0,1768573800,2026-01-16,14,1721.7000000000075,1728.4600000000075,6.759999999999991,6.800000000000002,1768573860.0,False,True,True
KXBTC15M-26JAN161030-30,1768576740.0,1768576800.0,1768576500,2026-01-16,15,1728.4600000000075,1721.8500000000076,-6.6099999999999,-6.5,1768576740.0,False,False,True
KXBTC15M-26JAN161115-15,1768579440.0,1768579500.0,1768579200,2026-01-16,16,1721.8500000000076,1739.2000000000075,17.34999999999991,17.450000000000003,1768579440.0,False,False,True
KXBTC15M-26JAN161415-15,1768590060.0,1768590120.0,1768590000,2026-01-16,19,1739.2000000000075,1748.3100000000074,9.1099999999999,9.16,1768590060.0,False,True,True
KXBTC15M-26JAN161445-45,1768591860.0,1768592100.0,1768591800,2026-01-16,19,1748.3100000000074,1739.0600000000077,-9.249999999999773,-8.860000000000001,1768591860.0,False,True,True
KXBTC15M-26JAN161715-15,1768600980.0,1768601160.0,1768600800,2026-01-16,22,1739.0600000000077,1778.7600000000075,39.69999999999982,39.92,1768600980.0,False,False,True
KXBTC15M-26JAN161800-00,1768603740.0,1768603800.0,1768603500,2026-01-16,22,1778.7600000000075,1767.2800000000077,-11.47999999999979,-11.3,1768603740.0,False,False,True
